average_stars,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,compliment_profile,compliment_writer,cool,elite,fans,funny,name,useful,user_id,yelping_since
4.57,96,0,96,27,0,7,16,37,16,0,32,1686,"2015,2016,2017,2018",42,734,Eric,1930,ZcwLnR_VGfgLmuJ_7tnAjQ,2010-07-28 06:07:46
4.36,54,1,54,38,0,6,11,18,183,1,25,709,"2016,2017,2018",43,414,Gloria,1074,4YemMsrI26nkSCrbvxNagw,2013-01-09 23:53:46
4.0,175,7,175,166,5,27,73,87,190,23,138,3550,"2014,2015",84,2931,Fiona,3857,pb-Fw9SjbDULRRO9LOP8gg,2011-01-02 19:50:12
3.8,6,0,6,5,0,2,16,4,11,0,3,190,"2016,2017,2018",17,80,Daniel,357,t1B18e5ucYFmvg2oHvQ41w,2010-07-26 15:40:41
4.13,81,2,81,61,2,8,16,2,21,12,7,686,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",20,302,Vivian,854,XvVkluYp5Sx3aqpo1NFM4Q,2008-01-12 05:42:04
3.81,29,4,29,9,0,3,8,1,18,3,17,249,"2011,2012,2013,2014,2015,2016,2017,2018",26,193,Lydia,623,Ji1n8zLwTrUQOfTH13YT7g,2008-12-31 22:33:00
4.04,6,0,6,3,0,0,2,2,5,0,4,201,"2016,2017,2018",30,154,Jen,354,D-kao_LyrlEOIOR9EAf39g,2012-07-30 20:39:28
3.53,28,1,28,9,0,5,31,0,19,0,19,253,"2008,2010",31,246,Remy,813,NG2mzp-BFKPsgxy5ofaQUw,2008-04-15 19:47:40
3.78,10,1,10,6,0,1,4,1,10,0,4,211,"2015,2016,2017,2018",14,79,Mariko,383,8z1U4Xmb7bv3zAZ3BGUCGw,2010-06-01 01:29:43
3.63,27,1,27,12,0,5,8,3,23,0,28,453,"2011,2012,2013,2014,2015,2016,2017,2018",19,311,Kensey,812,9EI94e2iuU7-zWxr05eJGQ,2009-11-10 02:22:30
3.54,9,0,9,3,2,1,6,0,16,2,12,121,"2012,2013,2014,2015,2016,2017,2018",21,131,Bryant,517,SRjrCDKvwjWZ6lbrihu5Og,2012-03-02 16:07:27
3.47,29,2,29,18,0,4,11,5,11,0,7,252,"2009,2010,2011,2012,2013,2014,2015,2016",14,278,Anderson,671,zEZnKvSQJ_79eOEYAkO_GQ,2006-10-20 03:52:48
3.76,17,2,17,7,0,1,8,15,33,0,19,798,"2015,2016,2017,2018",75,352,Jennifer,1316,vsaL8giqU6Z3cxk35SdS0g,2013-06-06 06:30:56
3.15,18,1,18,10,0,7,13,3,7,1,4,242,"2008,2009,2010,2011,2012,2013",12,220,Olivia,950,NOSX_lFBzce4z38j6D_0Pw,2008-03-16 04:34:12
3.7,163,3,163,87,11,20,107,10,230,6,84,1593,"2010,2011,2012,2013,2014",53,2009,Richard,2319,dDsI6CMFIrBHJ68b8KZNCA,2009-01-29 18:45:14
3.24,9,0,9,5,0,7,13,0,10,3,11,192,"2008,2009,2010,2011,2012",16,228,Scott,764,HbXFXjIwTqYM7mM9bbqaNA,2007-05-26 19:17:43
4.51,19,0,19,11,3,9,14,0,25,1,7,215,"2011,2012",20,109,Justin,531,LWUnzwK0ILquLLZcHHE1Mw,2010-12-20 03:07:16
3.67,15,0,15,4,0,5,23,18,56,0,8,361,"2015,2016,2017,2018",18,244,Dana,696,yEnrAGq9PfyK_ZQqB0gP4g,2009-01-26 05:25:00
3.46,46,0,46,33,0,5,15,42,35,4,16,1835,"2017,2018",70,1164,Erica,2230,3GXPuSZNRB7l-EB7LU4IDg,2013-09-12 16:38:05
3.62,5,0,5,2,0,1,10,0,8,0,5,172,"2012,2013,2014",12,175,Tom,537,2gcFiDuxzOY2cMKlVLfi1w,2011-12-17 03:11:53
3.83,35,0,35,32,0,5,15,2,44,1,12,352,"2012,2013,2014,2015,2016,2017,2018",40,212,Kojo,815,nZnIBpiQpB-OFhpEo6aO2Q,2009-04-17 20:00:35
3.7,27,0,27,7,0,4,13,5,32,1,12,291,"2008,2009,2010,2011,2012,2013,2014,2015,2018",26,157,Mike,558,Rh91giys8kpc4qrWHkewVA,2006-05-08 01:17:46
3.59,79,0,79,24,1,4,71,16,68,3,30,378,"2013,2014,2015,2016,2017,2018",47,779,Stanley,1054,oAvJPTA1WRiISGYb0xGtrA,2010-05-16 21:20:59
3.82,20,1,20,14,0,7,16,8,10,3,8,274,"2008,2009,2010,2011,2012,2013,2014,2015",21,291,Kymberly,779,6UkBaNfSwL0kDyopx7agUg,2008-02-08 00:23:01
3.94,6,0,6,6,1,0,11,3,14,0,6,153,"2011,2012,2013,2014,2015,2016,2017,2018",9,111,Reena,440,X77_7mi1kvTy9FKIvrn0sw,2011-04-23 19:15:52
3.66,43,0,43,36,11,0,20,1,19,0,7,371,"2008,2009,2010",17,151,Mark,517,OWnYWg8L67W-moQJkjrXPQ,2006-02-28 17:36:13
3.96,6,2,6,1,0,1,2,9,5,1,2,192,"2017,2018",16,166,Magda,474,vI2Oc__Y4ehNoO0S_v1QOg,2005-05-19 13:33:58
3.81,202,2,202,116,1,7,148,3,262,0,59,583,"2011,2012,2013,2014,2015,2016,2017,2018",27,239,Jen,1065,k6MbWBAqrnsqIsYiS2HPMQ,2010-09-30 19:01:14
3.84,34,0,34,17,0,6,39,7,16,1,38,494,"2012,2013,2014,2015,2016,2017,2018",19,343,Tim,925,nI_pnkwggyLCup-Fa40M1w,2009-01-09 14:01:04
3.6,36,0,36,17,9,6,23,4,50,4,33,468,"2012,2013,2014,2015,2016",58,874,Carrie,1481,aB867JHc0gxKujKuLeIxNQ,2011-10-16 04:39:53
3.74,21,4,21,8,0,5,11,3,40,1,17,323,"2012,2013,2014,2015,2016,2018",34,359,Julia,711,4c2RYnS2mdDSMwyY9xWBaQ,2011-07-25 03:18:53
3.63,41,0,41,17,0,4,22,5,12,2,10,343,"2011,2012,2013,2014,2015,2016,2017,2018",33,302,Brad,939,IMD57wrCtAPbvBSAlI2nkA,2009-08-05 18:53:48
3.89,40,0,40,32,6,13,23,1,19,0,21,342,"2010,2011,2012,2013,2014,2015,2016,2017,2018",31,152,Mckenzie,943,VqSFTE5f-mDzoLeXS-16xw,2008-04-17 23:57:35
3.62,201,8,201,166,3,14,57,11,170,6,84,1082,"2011,2012,2013",74,957,Florence,1540,Lm3fpZjnpvjfyEko4lW0aQ,2011-05-31 18:56:21
3.87,24,7,24,23,0,1,22,7,19,2,11,388,"2011,2012,2013,2014,2015,2016,2017,2018",39,342,Sandra,826,1cX-YceSQlzmJzIAkkz69w,2009-01-28 17:18:35
3.9,31,0,31,22,2,1,16,1,30,3,27,199,"2012,2013,2014,2015,2016,2017,2018",25,119,Amy,566,Zr8oNgTmBcPRXbaKMOPkZw,2008-11-25 20:09:43
3.93,218,12,218,183,1,64,49,167,127,53,81,3818,"2015,2016,2017,2018",131,3435,Stephie,4596,N6S6h8kFXk0tuxPSiZKCMw,2009-01-30 19:48:37
3.99,14,0,14,8,1,4,18,7,23,1,8,536,"2014,2015,2016,2017,2018",37,387,Jenny K.,945,STAlhmm3saZDehwqzEg5wg,2011-05-11 01:59:46
3.6,61,7,61,72,2,2,57,30,74,5,53,508,"2010,2011,2012",71,738,Kerra,1246,OYKnQi0oX5Vx2SWaOayOyA,2009-10-15 18:42:07
3.83,21,0,21,6,0,2,6,3,5,1,5,149,"2010,2011,2012,2017,2018",15,107,Emy,358,rXxY-02UsZH6tWJrW5rGeA,2008-01-07 18:52:56
3.84,80,0,80,36,0,12,27,2,65,15,26,403,"2010,2011,2012,2013,2014,2015,2016",27,352,Eric,940,jO9mn68MeCPl1wDRZAWyow,2009-02-12 23:29:29
3.56,50,1,50,25,0,6,59,0,28,6,17,203,"2012,2013,2014,2015,2016,2017,2018",27,366,Scott,561,KCg3IFE8LooHWuNE4tHexA,2012-02-06 21:15:16
3.92,33,0,33,14,2,2,7,5,9,1,9,466,"2015,2016,2017,2018",30,242,Amber,806,n8rgkYwsqgxYoBpAwmVbRA,2010-12-23 02:35:32
3.45,1,0,1,2,0,0,2,0,3,0,2,68,,4,53,Nikki,157,EDw67E-BJELjhU6gQLRRNg,2015-07-14 03:18:03
3.69,50,0,50,13,1,6,34,15,95,4,30,507,"2012,2013,2014,2015,2016,2017,2018",41,468,Marcus,1168,LB_dvaFy7Iv8RdLv4POYPQ,2009-03-04 19:00:05
3.9,17,0,17,6,1,0,13,5,52,0,7,362,"2016,2017,2018",25,276,Moses,795,D3fOi-5w4intrUTWXzIQew,2013-03-22 03:08:27
3.91,48,0,48,24,0,6,11,11,66,2,22,527,"2014,2015,2016,2017,2018",14,254,Mark,1137,KRM2G39ahSTQgkpmD7AvMg,2013-11-10 17:42:13
3.78,12,0,12,6,0,3,14,1,14,2,3,157,2012,24,209,Shams,603,qhoDyf0vDNOAKn6dX2lCBA,2010-12-14 02:31:33
3.06,492,4,492,132,3,65,291,35,382,6,103,1582,,136,2348,Edwin,2462,KtIh1kjkVESCqd2CCsQnhA,2012-10-02 04:28:50
4.44,1,1,1,1,0,3,3,4,4,0,3,76,,5,102,BerlinGazza,187,3K6zMxUHanwvYdpHaP3aZA,2013-10-21 18:13:35
3.74,33,0,33,10,0,3,21,17,32,1,17,400,"2015,2016,2017,2018",53,345,Michael,744,0EmCJBn_Gud5iaHVJf2L_Q,2015-08-01 18:52:51
4.07,75,1,75,33,3,2,21,17,41,12,63,640,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",32,323,Patti,1205,3MJI1RDk8aH3ANr7I1AVgA,2008-01-06 03:23:43
3.54,14,0,14,2,3,3,8,1,10,0,5,155,"2012,2013,2014,2015,2016",22,112,Steven,387,Pg3Q7516riCrzIXvPgGKQQ,2010-12-19 11:42:16
4.35,36,0,36,13,0,6,36,42,41,1,19,627,"2016,2017,2018",28,343,Kevin,1066,HSOQaaaZO8EAUWucz4ohQw,2011-10-06 12:19:03
3.47,125,2,125,100,0,7,96,4,167,5,90,741,"2013,2014,2015,2016,2017,2018",83,829,Jenny,1591,_t3BJzyGaqr9mcDazYiYAQ,2012-02-09 14:09:31
3.18,182,1,182,74,2,14,54,25,96,7,191,1318,"2012,2013,2014,2015,2016,2017,2018",85,1361,Suzie,2500,MhPYMbNlFPuF-91xkLN04w,2007-06-10 19:22:40
3.78,28,1,28,20,0,6,22,13,19,2,15,875,"2011,2012,2013,2014,2015,2016,2017,2018",51,682,Sarlyn,1453,ESCcbvs_p55nukBzCSCFaQ,2010-02-10 11:46:08
4.23,26,0,26,4,0,2,7,22,31,0,3,252,,15,185,Rose,510,tBp8hAPzsfQIME4Y-KrEOg,2013-04-11 00:49:43
4.16,11,0,11,7,0,3,12,4,7,2,5,81,"2012,2018",17,44,Denise,347,_1pnRlhWYQv9FJ4zAgtFAA,2011-04-03 10:07:05
3.75,123,16,123,121,1,16,70,31,108,11,56,927,2012,96,850,Cindy,1616,h-nn7YTSrFqaitA1zD-zag,2010-07-17 01:39:58
4.0,2,0,2,5,0,0,3,0,3,0,1,295,,9,125,Ed,625,BPNvklqrBEpllJQoip8Nfg,2011-02-12 16:55:45
3.23,9,0,9,0,0,1,6,0,1,0,1,51,,4,35,Lisa,167,UfRm6t31UuCJ8u50Sc24VQ,2009-06-15 02:17:40
3.63,70,1,70,56,2,12,39,2,38,9,40,969,"2011,2012,2013,2014,2015,2016,2017,2018",36,1212,Amelia,1630,EMNFEk_q1MueAVfWKH8c3w,2009-10-13 22:25:55
4.03,4708,12,4708,2268,54,239,1007,579,5460,190,2228,12208,"2011,2012,2013,2014,2015,2016,2017,2018",255,12912,Greg,12277,VZNWqQD2V5jukp0sPcD2lw,2010-04-18 17:03:19
4.15,28,0,28,11,0,5,11,6,28,1,9,704,"2014,2015,2016,2017,2018",26,298,Wayne,999,sGaoPWB_p1aOm5z9cnV3Aw,2014-06-25 22:38:56
3.35,3,1,3,0,0,1,12,36,8,1,3,75,,13,55,John,206,wsc5Aqmsw2imqWlWVJOz9g,2009-10-30 16:21:08
3.95,47,1,47,44,0,9,23,60,21,1,35,594,"2013,2014,2015,2016,2017,2018",58,152,Julien,1081,La1ggB37gvq6UWpEWaMtMA,2010-08-31 00:04:58
4.01,1,0,1,0,0,0,4,0,0,0,0,66,"2017,2018",10,60,Christina,202,NKRgQwaKNbRXXSj2Nf9YLw,2015-08-12 18:15:09
4.03,17,1,17,23,0,8,17,3,11,2,10,179,"2013,2014,2015,2016,2017,2018",26,170,Yvone,653,_MjgqPR1pvDnZZ6wCwabBQ,2011-07-30 18:54:07
4.16,71,8,71,38,0,3,28,3,47,3,20,639,"2010,2011,2012,2013,2014,2015,2016,2017,2018",43,363,Jessica,835,fMEXZuj_mSTrxkGcAg4Hxw,2007-02-16 01:55:19
4.29,20,0,20,4,0,0,2,4,12,1,13,614,"2017,2018",27,256,Ashley,1277,bAmK1OzZpDkKeN_az63sMw,2016-09-14 00:32:19
4.31,371,11,371,273,0,14,115,367,143,7,72,5920,"2015,2016,2017,2018",320,3949,Brenda,6443,XTDvxqY6U6jMFvy_lq5o9g,2014-11-07 01:51:39
3.13,115,6,115,55,1,12,84,44,174,4,39,652,"2016,2017,2018",70,769,Lynx,1351,P0koE1yKjJvJRgaYbIFqyw,2011-02-01 22:19:14
3.3,25,3,25,11,1,3,15,4,19,4,12,267,"2011,2012,2013,2014,2015,2016,2017",31,393,Shana,797,ofxHyCsg2YBaC47SofI8Zw,2010-11-23 00:38:18
3.38,6,0,6,1,0,0,2,0,2,0,1,43,,4,32,Brent,132,zTB0HibY3tnwltqB7v3c3g,2010-01-07 01:59:55
3.76,55,1,55,27,0,3,15,19,42,2,20,452,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",26,316,Dana,853,SPbdGX1c5q2UoFngJJVvRQ,2009-05-25 03:56:15
3.89,23,1,23,10,3,4,16,4,14,8,7,239,"2010,2011,2012,2013,2014,2015,2016,2017",26,157,Alicia,741,DQYMtGFO1-DUGB0yX3a4Qg,2007-03-06 16:37:37
4.79,3,1,3,0,0,2,6,11,9,1,2,604,,195,845,FakeFoodBabyNY,815,BluKSjMkVdWpC5ughexFDA,2014-12-28 02:57:58
3.65,0,0,0,0,0,0,0,0,0,0,0,3,,0,5,freeman_92,9,iAfBmkVdzVJFz1lprDG2BQ,2010-08-11 15:05:53
3.98,19,1,19,9,4,2,7,17,19,1,3,399,,21,259,BrasilPo,566,KfyKFYNL3QpVKC2G7EeoRQ,2007-04-06 07:55:19
3.67,66,5,66,45,6,9,20,14,61,3,22,563,"2012,2013,2014,2015,2016,2017,2018",55,588,Dillar,1315,Tgb0gO-vIUHZyyEbA-k1Ag,2007-12-28 04:47:17
3.36,67,5,67,30,1,10,30,34,39,6,36,1484,"2015,2016,2017,2018",63,1088,Cindy,2179,9tav_Og2maRV0ZRZs_fSKQ,2013-04-04 03:24:34
3.48,556,7,556,131,22,12,197,172,515,13,139,4298,"2014,2015,2016,2017,2018",154,3305,Anthony,5249,zOrZ__FkCgY99LuU6TKivA,2013-08-21 23:18:42
4.04,352,10,352,153,8,41,408,27,1226,8,110,1546,"2012,2013",164,1116,Gloria,2828,iyR5YwpMnOCmbfvk4KKczA,2011-07-04 00:45:35
3.49,19,0,19,11,0,2,11,5,28,1,12,276,"2012,2013,2014,2015,2016,2017,2018",44,204,Tiffany,885,hQjN1FuYaB4pQACZwfrclw,2011-03-23 20:49:36
3.91,77,1,77,35,0,8,23,12,67,6,15,618,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",49,762,Dave,981,TgCLIZJnI4k0KFgt6hGQeg,2007-08-09 20:11:49
3.62,44,2,44,22,2,10,15,12,27,5,15,729,"2006,2007",48,689,patrick,928,iUeZhkI0OK0BisakOkb3pQ,2005-03-11 00:03:03
4.05,77,2,77,36,0,12,34,13,61,4,53,536,"2009,2010,2011,2012,2013,2014,2015,2016,2017",41,363,Swetha,1116,qRBTAUOEWrBY9N1JszH1ow,2006-04-16 23:15:45
4.08,105,0,105,47,0,12,94,40,186,3,86,1371,"2014,2015,2016,2017,2018",93,468,Gus,2460,VatcQtdb5tlz4D-N6y8e7A,2014-09-15 14:46:31
4.25,1572,43,1572,1874,49,83,523,138,1324,135,586,6536,"2010,2011,2012,2013",151,6457,Michael,7150,Jy7BwojX8fRcq14_Lmigcg,2007-04-30 20:35:50
3.8,33,0,33,15,2,7,27,3,50,0,20,351,"2010,2011,2012,2013,2014,2015,2016,2017,2018",31,351,Nancy,1162,zP9HLd5nwdpHXhO2rKXjEw,2010-04-18 03:46:46
3.95,24,0,24,8,0,10,17,5,22,2,11,533,"2013,2014,2015,2016,2017,2018",36,457,Kay,891,brgZzmFWnMcXvANMtT-CWg,2010-09-30 21:47:10
3.42,9,0,9,6,0,2,1,0,5,0,5,285,"2011,2012,2013,2016,2017,2018",15,188,Dave,813,fqCxaOI1cvnXx1OlHRUDPg,2006-10-06 20:17:40
3.85,3,1,3,0,0,0,9,7,7,0,4,84,"2016,2017,2018",21,48,Doug,308,CV0penl0gnQQFo83p5Z9lQ,2012-03-03 18:34:16
4.01,59,0,59,21,0,1,18,16,43,0,37,1450,"2015,2016,2017,2018",50,979,Jencen,1893,FUHxeKjaVuuiFWrJwQaNaQ,2011-03-21 22:43:04
3.79,9,0,9,1,0,2,6,1,12,1,8,114,"2014,2015,2016,2017,2018",22,97,Stephen,804,3kzv8teHvsdA4_TyClQZpQ,2011-11-23 23:40:26
4.09,23,5,23,19,0,6,14,19,30,1,25,1031,"2015,2016,2017",102,718,Bianka,1538,o9zhrbHlaMhW9-dxxfOy5w,2008-02-19 09:57:36
3.72,29,0,29,6,0,7,16,1,24,1,13,213,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",24,157,Tiffany,735,Pstaq3a0m58jBDkoT5HtOw,2006-12-11 15:44:12
3.45,411,165,411,669,9,56,173,60,296,17,103,1796,"2007,2008",207,2071,Ladi Da,2245,xLldDRZe1DCTY-05-OIauA,2007-02-04 18:57:36
3.41,75,0,75,23,1,3,34,6,69,1,20,709,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",36,437,Stephen,1179,czq3zEPXC2ipRLXA8xIjvw,2008-12-14 17:31:12
3.84,259,2,259,186,2,14,50,113,189,5,131,1986,"2012,2013,2014,2015,2016,2017,2018",100,1644,Dexter,2665,7Q22MHgNrcQoH1xBs4fH0w,2012-01-21 21:37:14
3.94,7,0,7,16,0,5,15,0,11,1,26,307,"2013,2014,2015",20,229,Matt,1058,UY3x_8KhKlrqVSDE0QKV8A,2009-10-26 20:30:22
3.96,42,2,42,6,0,0,42,3,62,2,7,341,"2012,2013,2014,2015,2016,2017,2018",28,102,Dorothée,725,tyT9aKszvUn0Oc2svvr9Gw,2012-04-23 20:46:04
3.7,2,0,2,1,0,0,4,0,2,0,0,52,,7,28,Fei,108,utjABqzCGFzDVJlnRF0WFg,2011-03-27 05:06:00
3.73,20,4,20,27,2,5,27,3,21,3,32,438,"2011,2012,2013,2014,2015,2016,2017,2018",60,435,Jennifer,973,a4Z8X3ic5P1YDtNzMlxCMg,2010-08-25 05:21:48
4.05,19,2,19,3,1,4,7,5,12,1,11,311,"2013,2014,2015,2016,2017,2018",33,256,Jocelyn,803,i5Cm53q0pmklQsX8soi3tw,2010-07-08 06:11:31
3.56,3459,1744,3459,4562,2261,3575,4901,1350,2037,5660,4022,1815,,59,1741,Sue Ellen,2975,IBZMvu2dTKy-j23qCJgVWQ,2008-12-14 20:28:13
3.43,8,0,8,3,0,6,15,0,16,2,9,135,"2010,2011,2012,2013,2014,2015",22,154,Jeff,395,vzoB7-jmn63BwnnIxL7yWw,2009-12-19 20:07:39
3.6,230,10,230,185,2,19,140,67,215,21,132,1641,"2010,2011,2012,2013,2014,2015,2016,2017,2018",117,1517,Steph,2453,Vu_xzASZntkulx8VQSgy8g,2007-11-18 09:01:56
3.79,50,0,50,12,0,0,25,0,64,3,26,465,"2012,2013,2014,2015,2016,2017,2018",34,313,Joe,951,WjCz9whSc4mP8e5MNI8CVA,2009-05-29 23:14:44
3.48,4,0,4,2,0,1,2,1,10,0,6,124,"2015,2016,2017",15,96,Avinash,340,45PdJ5LYQIL8_qf4UdbpPw,2013-11-22 16:34:46
3.72,200,0,200,60,1,6,42,22,112,3,70,2102,"2014,2015,2016,2017,2018",46,1492,Robert,2807,wXZS42D0L8hoCiSh2Krc_A,2011-05-11 17:00:06
3.71,39,0,39,20,0,5,32,1,36,0,20,365,"2012,2013,2014,2015,2016,2017,2018",26,254,Kristy,1116,O5y7KlfBdqV6Ih8yhjZLsg,2011-02-26 16:45:29
3.84,3,1,3,0,0,2,10,4,7,1,3,308,"2015,2016,2017,2018",35,296,Bing,693,seGbuDQHjihE7TE29cQYWw,2007-04-02 19:57:02
4.2,10,0,10,6,0,4,12,2,11,0,6,234,,13,187,Jocelyn,451,Ve6Yq7F9Chf8N0JuJ7cQ2g,2011-09-06 21:24:25
2.92,16,0,16,6,1,8,35,8,59,1,29,294,"2012,2013,2014,2015,2016,2017,2018",30,668,Bobby,1246,nF2TR0yfB2tx3VzAMvdlgQ,2010-08-10 03:13:20
3.98,191,25,191,185,4,22,91,85,156,23,89,1399,"2011,2012,2013,2014,2015,2016,2017,2018",99,1279,Christina,1878,Ta0ki1Fi2fcDpOjiQcR1Qw,2008-11-19 05:13:22
4.02,11,5,11,8,1,5,5,0,16,1,4,243,"2010,2011,2012,2013,2014,2015,2016,2017",18,129,Kori,561,nOs7s96Vmz9Emn7IIsLTeg,2007-04-20 21:36:33
3.63,2,0,2,1,0,2,14,0,5,0,7,158,,17,323,Kevin,456,WRSedlpmhA-9ZqVMUFtPMQ,2010-08-16 13:58:59
3.43,13,2,13,7,2,5,9,1,7,1,4,214,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",24,277,Michaela,671,y-1YkRfAGhmYXvpu412H4A,2006-05-29 03:14:41
3.65,33,1,33,9,15,2,9,0,15,1,17,287,"2009,2010,2011,2014,2015,2016,2017,2018",28,261,Stacey,853,5KibiQBLrIKGIc6VIYxhaw,2008-04-11 08:21:49
4.24,56,1,56,36,0,2,31,27,65,0,44,851,"2013,2014,2015,2016,2017,2018",64,383,Sydney,1487,wwEV66BaaGIiXerjrPMziQ,2012-12-18 21:01:27
4.05,128,8,128,111,1,14,75,122,218,5,26,964,"2011,2012,2013,2014",98,602,Kim,1403,nlufIjMa__k4V-f-Qs5vig,2009-05-09 21:28:23
3.97,17,1,17,14,3,3,9,0,20,0,12,375,"2007,2009,2010,2011,2012,2013,2014,2015,2016,2017",24,290,Tina,769,k1NEXdF1frI-Ojw5Wz03Vg,2007-04-06 01:01:00
3.88,0,0,0,0,0,0,0,0,0,0,0,4,,0,4,deCabbit,8,_nTKLtY-W7Adf9gasN4thQ,2007-12-20 10:25:32
3.77,93,8,93,45,4,13,35,29,77,3,58,931,"2013,2014,2015,2016,2017,2018",110,1303,Amaya,1683,uy04JGFYMkEjNCZ2gIBqWw,2010-12-03 02:55:40
3.78,132,2,132,59,9,17,82,21,139,4,63,841,"2011,2012,2013,2014,2015",55,1122,Hector,1453,-A8NWVsLSAQX_XTqt4WPmg,2009-01-09 00:10:58
4.16,6,0,6,3,0,0,3,0,4,1,3,102,"2016,2017,2018",14,39,Debbie,359,9bs-jvAayiWN1Hq2iDLiXw,2011-04-15 15:53:56
3.87,169,4,169,97,2,16,105,26,190,6,43,479,"2012,2013,2014,2015",43,543,Chris,902,zTgmTmDT0G2KYXpuifxmYg,2010-12-17 03:04:06
3.35,48,0,48,23,12,3,39,9,106,0,22,465,"2011,2012,2013,2014,2015,2016,2017,2018",31,498,Simon,1403,wlLjTKFAkwYNuGd8b7Rwbw,2009-09-12 17:44:21
3.61,12,1,12,0,0,4,10,1,9,2,8,330,"2015,2016,2017,2018",29,297,Joey,703,p2lzjUMFdYAx77KNVkZSfA,2012-08-28 07:48:24
3.69,10,0,10,5,1,5,39,4,61,1,19,303,"2014,2015,2016,2017,2018",24,231,Eric,929,eAqjr-5h0PpzmBcUmNrLXw,2012-06-06 18:00:01
4.14,23,0,23,3,0,2,7,1,11,2,8,428,"2016,2017,2018",21,141,Jenn,710,4qYuZmlndclYBVy7o_xokg,2011-07-22 17:30:49
4.11,45,1,45,28,8,17,32,10,73,3,26,542,"2006,2007,2008,2009,2011,2012,2013,2014,2015,2016,2017",48,160,Christy,1036,5wVMvCjRp2lVHvAsi15hAQ,2005-08-29 21:49:55
3.95,626,126,626,987,101,77,428,107,892,104,211,4874,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017",130,4673,Krsna,5648,o84KZeqgy0YGLmz5I9P-pg,2007-05-06 14:43:52
3.57,37,1,37,23,0,5,14,19,20,2,29,580,"2011,2012,2013,2014,2015,2016,2017,2018",80,476,Ada,1042,Qb8sDTzr54wRtT9hm1ZBCg,2010-07-26 08:28:57
3.63,12,2,12,8,0,2,8,9,8,0,8,589,"2015,2016,2017,2018",29,318,Karolina,894,F6kq2nyNy4VaXIRJVIMHQg,2014-07-31 14:54:15
3.77,46,1,46,23,0,6,18,18,46,2,24,1368,"2011,2017,2018",49,851,Justin,1955,W_MuoJIhSJYCXJ3q6TkyWA,2011-01-12 06:17:33
3.78,262,3,262,260,1,50,96,21,204,66,178,3668,"2015,2016,2017,2018",86,3202,Jeffrey,5363,Ehjg4D6ANqI1fTHsWYw5LA,2012-12-21 16:12:59
3.46,4,0,4,0,0,1,8,5,19,0,2,273,,11,187,Smorga,478,oQbsUmlGkivw-y5Ztuky_g,2012-09-08 18:12:36
3.77,70,4,70,52,1,11,21,6,89,4,16,400,"2010,2011,2012,2014,2015,2016,2017,2018",23,330,Merrill,620,btsevcupx6Cj-gbFHALUlg,2009-08-26 18:56:52
3.77,39,5,39,27,1,7,34,5,31,5,15,212,"2010,2011,2012,2013,2014,2015",33,160,Sarah,537,IJytHzH09jStflMTv_UMpA,2009-04-18 21:34:09
3.76,22,7,22,15,5,10,21,5,28,2,10,470,"2008,2009,2010,2011",27,269,Valerie,1041,5SDwdNaU0c3cf-Oum-J3Xw,2005-12-29 20:31:33
3.78,20,1,20,8,0,4,17,3,17,1,6,208,"2010,2011,2012,2013",16,166,Katherine,563,IVo_5i_pBbQGnlmkvKRk-g,2008-11-07 00:17:37
3.42,11,1,11,8,0,3,6,2,5,4,10,157,"2011,2012,2014,2015,2016,2017",18,103,Justine,476,-Jd_4LVKGT07AerNV39udg,2010-11-11 18:35:38
3.43,15,3,15,12,1,2,16,6,13,2,10,413,"2012,2013,2014,2015,2016,2017,2018",32,397,Veronica,1226,HCC_eTeq9zRRWrBk0xip1A,2007-12-23 03:09:50
3.74,5,0,5,0,0,1,4,3,15,0,2,109,,10,137,Fuk,317,_B4PoG1_mXUGYKiF2F5Xzw,2013-03-25 02:54:22
3.36,1,0,1,0,0,0,9,2,13,0,11,127,"2016,2017,2018",16,117,David,489,iRQ_YKpCBdaCwvc2X8_3NQ,2014-03-29 17:21:25
3.98,30,0,30,28,0,7,12,22,41,1,27,830,"2014,2015,2016,2017,2018",75,499,Kristina,1359,svg_vZv5aRaMzulEwW11GA,2010-03-13 20:21:58
3.91,23,0,23,7,0,1,9,17,15,0,11,474,"2015,2016,2017,2018",35,278,Christina,867,U1ejR2a9qPfCe579aW8pRw,2011-07-14 23:57:26
3.52,22,0,22,15,1,3,25,1,43,1,16,232,"2011,2012,2013,2014,2015,2016,2017,2018",23,173,Stan,790,cPT-E02ZVvzevldYI-vrAg,2010-07-18 21:28:46
3.78,22,2,22,10,0,1,3,2,10,0,16,391,"2014,2015,2016,2017,2018",19,243,Vivian,812,QCgf-Pkrq74ydSvD1tg1Nw,2012-11-19 04:05:06
